Escenario,Algoritmo,Alcanzo el resultado,Estados Explorados,Tiempo de Ejecucion,Alcanzo el limite,Costo del Camino
1,busqueda en amplitud,True,5969,0.022257328033447266,False,
2,busqueda en amplitud,True,8455,0.048956871032714844,False,
3,busqueda en amplitud,True,2541,0.019503355026245117,False,
4,busqueda en amplitud,True,1256,0.008984088897705078,False,
5,busqueda en amplitud,True,2265,0.016144275665283203,False,
6,busqueda en amplitud,True,6310,0.025979995727539062,False,
7,busqueda en amplitud,True,474,0.008999109268188477,False,
8,busqueda en amplitud,True,1292,0.009978294372558594,False,
9,busqueda en amplitud,True,6341,0.024000167846679688,False,
10,busqueda en amplitud,True,1643,0.009988546371459961,False,
11,busqueda en amplitud,True,5823,0.022009849548339844,False,
12,busqueda en amplitud,True,2585,0.011987924575805664,False,
13,busqueda en amplitud,True,2755,0.013995647430419922,False,
14,busqueda en amplitud,True,616,0.011992931365966797,False,
15,busqueda en amplitud,True,6947,0.02499866485595703,False,
16,busqueda en amplitud,True,8747,0.030976533889770508,False,
17,busqueda en amplitud,True,1033,0.007997512817382812,False,
18,busqueda en amplitud,True,635,0.007018566131591797,False,
19,busqueda en amplitud,True,1580,0.011017560958862305,False,
20,busqueda en amplitud,True,1153,0.007990837097167969,False,
21,busqueda en amplitud,True,1331,0.009005308151245117,False,
22,busqueda en amplitud,True,7157,0.027995586395263672,False,
23,busqueda en amplitud,True,1835,0.010006189346313477,False,
24,busqueda en amplitud,True,3427,0.019001483917236328,False,
25,busqueda en amplitud,True,7457,0.02897787094116211,False,
26,busqueda en amplitud,True,2839,0.017984628677368164,False,
27,busqueda en amplitud,True,2269,0.016974687576293945,False,
28,busqueda en amplitud,True,4866,0.02298116683959961,False,
29,busqueda en amplitud,True,376,0.006991386413574219,False,
30,busqueda en amplitud,True,2314,0.010988235473632812,False,
1,busqueda en profundidad,N/A,N/A,0.7325818538665771,True,
2,busqueda en profundidad,N/A,N/A,0.372802734375,True,
3,busqueda en profundidad,N/A,N/A,0.7745537757873535,True,
4,busqueda en profundidad,N/A,N/A,0.30893898010253906,True,
5,busqueda en profundidad,N/A,N/A,0.9632902145385742,True,
6,busqueda en profundidad,N/A,N/A,0.0679619312286377,True,
7,busqueda en profundidad,N/A,N/A,0.01900005340576172,True,
8,busqueda en profundidad,N/A,N/A,0.03897881507873535,True,
9,busqueda en profundidad,N/A,N/A,0.010993480682373047,True,
10,busqueda en profundidad,N/A,N/A,0.5028035640716553,True,
11,busqueda en profundidad,N/A,N/A,0.019988536834716797,True,
12,busqueda en profundidad,N/A,N/A,0.8522801399230957,True,
13,busqueda en profundidad,N/A,N/A,0.12293028831481934,True,
14,busqueda en profundidad,N/A,N/A,0.07195472717285156,True,
15,busqueda en profundidad,N/A,N/A,0.44501209259033203,True,
16,busqueda en profundidad,N/A,N/A,0.020989418029785156,True,
17,busqueda en profundidad,N/A,N/A,0.15095901489257812,True,
18,busqueda en profundidad,N/A,N/A,0.11603665351867676,True,
19,busqueda en profundidad,N/A,N/A,0.8529341220855713,True,
20,busqueda en profundidad,N/A,N/A,0.0540921688079834,True,
21,busqueda en profundidad,N/A,N/A,0.6839988231658936,True,
22,busqueda en profundidad,N/A,N/A,0.8399434089660645,True,
23,busqueda en profundidad,N/A,N/A,0.3580131530761719,True,
24,busqueda en profundidad,N/A,N/A,0.7550060749053955,True,
25,busqueda en profundidad,N/A,N/A,0.1650090217590332,True,
26,busqueda en profundidad,N/A,N/A,0.05307412147521973,True,
27,busqueda en profundidad,N/A,N/A,0.13093161582946777,True,
28,busqueda en profundidad,N/A,N/A,0.10100674629211426,True,
29,busqueda en profundidad,N/A,N/A,0.02099752426147461,True,
30,busqueda en profundidad,N/A,N/A,0.401050329208374,True,
1,busqueda en profundidad limitada,N/A,92,0.0060062408447265625,False,
2,busqueda en profundidad limitada,N/A,88,0.005998373031616211,False,
3,busqueda en profundidad limitada,N/A,79,0.006983280181884766,False,
4,busqueda en profundidad limitada,N/A,87,0.0059969425201416016,False,
5,busqueda en profundidad limitada,N/A,75,0.0059967041015625,False,
6,busqueda en profundidad limitada,N/A,76,0.005996227264404297,False,
7,busqueda en profundidad limitada,N/A,114,0.005024433135986328,False,
