Escenario,Algoritmo,Alcanzo el resultado,Estados Explorados,Tiempo de Ejecucion,Alcanzo el limite,Costo del Camino
1,Random,N/A,1000,0.045838356018066406,False,
2,Random,N/A,5,0.006040811538696289,False,
3,Random,N/A,1000,0.05855083465576172,False,
4,Random,N/A,1000,0.06795930862426758,False,
5,Random,N/A,1000,0.09993839263916016,False,
6,Random,N/A,1000,0.050965309143066406,False,
7,Random,True,164,0.010006904602050781,False,407
8,Random,N/A,1000,0.03297781944274902,False,
9,Random,N/A,1000,0.03798246383666992,False,
10,Random,N/A,1000,0.06097698211669922,False,
11,Random,N/A,1000,0.036981821060180664,False,
12,Random,N/A,1000,0.048970937728881836,False,
13,Random,N/A,1000,0.02997875213623047,False,
14,Random,N/A,1000,0.08695006370544434,False,
15,Random,N/A,1000,0.039960384368896484,False,
16,Random,N/A,1000,0.02697920799255371,False,
17,Random,N/A,1000,0.03697514533996582,False,
18,Random,N/A,1000,0.03698229789733887,False,
19,Random,True,906,0.06294775009155273,False,4560
20,Random,N/A,1000,0.03196263313293457,False,
21,Random,True,696,0.017990589141845703,False,1915
22,Random,N/A,1000,0.04496908187866211,False,
23,Random,N/A,1000,0.03797173500061035,False,
24,Random,N/A,1000,0.04798746109008789,False,
25,Random,N/A,1000,0.05398130416870117,False,
26,Random,True,236,0.009006500244140625,False,649
27,Random,N/A,1000,0.06395983695983887,False,
28,Random,N/A,1000,0.03398323059082031,False,
29,Random,N/A,1000,0.06394720077514648,False,
30,Random,N/A,1000,0.06197857856750488,False,
