N_Reinas,Algoritmo,Optima,truncado?,Explorados,Tiempo,reinas_atacandose
4,Hill Climbing,False,False,12,0.00099945068359375,2
4,Hill Climbing,False,False,12,0.0,2
4,Hill Climbing,False,False,12,0.0,4
4,Hill Climbing,False,False,12,0.0009989738464355469,2
4,Hill Climbing,True,False,6,0.0,0
4,Hill Climbing,False,False,12,0.0,3
4,Hill Climbing,False,False,12,0.0,2
4,Hill Climbing,True,False,12,0.0,0
4,Hill Climbing,False,False,12,0.0,3
4,Hill Climbing,False,False,12,0.0,2
4,Hill Climbing,True,False,9,0.0,0
4,Hill Climbing,False,False,12,0.0009996891021728516,2
4,Hill Climbing,True,False,12,0.0009989738464355469,0
4,Hill Climbing,False,False,12,0.0,3
4,Hill Climbing,True,False,6,0.0,0
4,Hill Climbing,False,False,12,0.0,2
4,Hill Climbing,False,False,12,0.0,3
4,Hill Climbing,False,False,12,0.0,2
4,Hill Climbing,False,False,12,0.0,2
4,Hill Climbing,False,False,12,0.0,2
4,Hill Climbing,True,False,12,0.0009992122650146484,0
4,Hill Climbing,True,False,12,0.0,0
4,Hill Climbing,False,False,12,0.0,2
4,Hill Climbing,False,False,12,0.0,2
4,Hill Climbing,True,False,9,0.0,0
4,Hill Climbing,False,False,12,0.00099945068359375,2
4,Hill Climbing,True,False,9,0.0,0
4,Hill Climbing,False,False,12,0.00099945068359375,2
4,Hill Climbing,False,False,12,0.0,2
4,Hill Climbing,False,False,12,0.0009992122650146484,2
8,Hill Climbing,False,False,56,0.0019989013671875,3
8,Hill Climbing,False,False,56,0.005996227264404297,2
8,Hill Climbing,False,False,56,0.0049974918365478516,2
8,Hill Climbing,False,False,56,0.002997875213623047,4
8,Hill Climbing,True,False,42,0.011992931365966797,0
8,Hill Climbing,False,False,56,0.004996776580810547,4
8,Hill Climbing,False,False,56,0.005995988845825195,2
8,Hill Climbing,False,False,56,0.002000570297241211,3
8,Hill Climbing,False,False,56,0.0059964656829833984,2
8,Hill Climbing,False,False,56,0.003997325897216797,3
8,Hill Climbing,False,False,56,0.0019910335540771484,2
8,Hill Climbing,False,False,56,0.0039975643157958984,3
8,Hill Climbing,False,False,56,0.002997875213623047,4
8,Hill Climbing,False,False,56,0.0029981136322021484,5
8,Hill Climbing,False,False,56,0.0039975643157958984,4
8,Hill Climbing,False,False,56,0.00099945068359375,6
8,Hill Climbing,False,False,56,0.0019989013671875,3
8,Hill Climbing,False,False,56,0.003997325897216797,4
8,Hill Climbing,False,False,56,0.0029985904693603516,3
8,Hill Climbing,False,False,56,0.0019981861114501953,2
8,Hill Climbing,False,False,56,0.0019996166229248047,4
8,Hill Climbing,False,False,56,0.003997087478637695,4
8,Hill Climbing,False,False,56,0.0039980411529541016,4
8,Hill Climbing,False,False,56,0.001998424530029297,3
8,Hill Climbing,False,False,56,0.0019998550415039062,3
8,Hill Climbing,False,False,56,0.002997875213623047,5
8,Hill Climbing,False,False,56,0.0049970149993896484,3
8,Hill Climbing,False,False,56,0.0019986629486083984,2
8,Hill Climbing,False,False,56,0.005997657775878906,3
8,Hill Climbing,False,False,56,0.02098846435546875,3
10,Hill Climbing,False,False,90,0.026986360549926758,4
10,Hill Climbing,False,False,90,0.011991262435913086,5
10,Hill Climbing,False,False,90,0.00699615478515625,5
10,Hill Climbing,False,False,90,0.0039980411529541016,3
10,Hill Climbing,False,False,90,0.0049970149993896484,4
10,Hill Climbing,False,False,90,0.003997087478637695,3
10,Hill Climbing,False,False,90,0.005997180938720703,4
10,Hill Climbing,False,False,90,0.002997875213623047,2
10,Hill Climbing,False,False,90,0.005995988845825195,2
10,Hill Climbing,False,False,90,0.0039958953857421875,2
10,Hill Climbing,False,False,90,0.005997180938720703,5
10,Hill Climbing,False,False,90,0.00499725341796875,4
10,Hill Climbing,False,False,90,0.005996227264404297,3
10,Hill Climbing,False,False,90,0.0069959163665771484,4
10,Hill Climbing,False,False,90,0.0059986114501953125,3
10,Hill Climbing,False,False,90,0.005994319915771484,3
10,Hill Climbing,False,False,90,0.003997802734375,3
10,Hill Climbing,False,False,90,0.006997108459472656,4
10,Hill Climbing,False,False,90,0.004997968673706055,4
10,Hill Climbing,False,False,90,0.0059967041015625,3
10,Hill Climbing,False,False,90,0.0049970149993896484,2
10,Hill Climbing,False,False,90,0.00499725341796875,4
10,Hill Climbing,True,False,90,0.003997087478637695,0
10,Hill Climbing,False,False,90,0.007997274398803711,4
10,Hill Climbing,False,False,90,0.0039958953857421875,3
10,Hill Climbing,False,False,90,0.005997180938720703,4
10,Hill Climbing,False,False,90,0.0039975643157958984,3
10,Hill Climbing,False,False,90,0.006994724273681641,6
10,Hill Climbing,False,False,90,0.004000425338745117,4
10,Hill Climbing,False,False,90,0.005995988845825195,4
4,Simulated Annealing,False,False,16,0.0,4
4,Simulated Annealing,False,False,16,0.0010020732879638672,3
4,Simulated Annealing,False,False,16,0.0009968280792236328,4
4,Simulated Annealing,False,False,16,0.0,4
4,Simulated Annealing,False,False,16,0.0,4
4,Simulated Annealing,False,False,16,0.00099945068359375,2
4,Simulated Annealing,False,False,16,0.00099945068359375,4
4,Simulated Annealing,False,False,16,0.0,3
4,Simulated Annealing,False,False,16,0.0009989738464355469,4
4,Simulated Annealing,False,False,16,0.0,4
4,Simulated Annealing,False,False,16,0.0,4
4,Simulated Annealing,False,False,16,0.0009996891021728516,3
4,Simulated Annealing,False,False,16,0.0,4
4,Simulated Annealing,False,False,16,0.0010004043579101562,4
4,Simulated Annealing,False,False,16,0.0,3
4,Simulated Annealing,False,False,16,0.0,3
4,Simulated Annealing,False,False,16,0.0009992122650146484,3
4,Simulated Annealing,False,False,16,0.0010006427764892578,4
4,Simulated Annealing,False,False,16,0.0,4
4,Simulated Annealing,False,False,16,0.000997781753540039,4
4,Simulated Annealing,False,False,16,0.0,4
4,Simulated Annealing,False,False,16,0.0,3
4,Simulated Annealing,False,False,16,0.0,3
4,Simulated Annealing,False,False,16,0.0009999275207519531,4
4,Simulated Annealing,False,False,16,0.0,4
4,Simulated Annealing,False,False,16,0.0009989738464355469,4
4,Simulated Annealing,False,False,16,0.0,4
4,Simulated Annealing,False,False,16,0.0,4
4,Simulated Annealing,False,False,16,0.0,4
4,Simulated Annealing,False,False,16,0.0,4
8,Simulated Annealing,False,False,64,0.0019974708557128906,6
8,Simulated Annealing,False,False,64,0.0029990673065185547,8
8,Simulated Annealing,False,False,64,0.0019986629486083984,7
8,Simulated Annealing,False,False,64,0.0019991397857666016,7
8,Simulated Annealing,False,False,64,0.0019979476928710938,7
8,Simulated Annealing,False,False,64,0.0019981861114501953,7
8,Simulated Annealing,False,False,64,0.0029981136322021484,7
8,Simulated Annealing,False,False,64,0.0029985904693603516,6
8,Simulated Annealing,False,False,64,0.001998424530029297,5
8,Simulated Annealing,False,False,64,0.002998828887939453,8
8,Simulated Annealing,False,False,64,0.0029973983764648438,8
8,Simulated Annealing,False,False,64,0.0029990673065185547,6
8,Simulated Annealing,False,False,64,0.0020003318786621094,5
8,Simulated Annealing,False,False,64,0.0019981861114501953,7
8,Simulated Annealing,False,False,64,0.003997325897216797,8
8,Simulated Annealing,False,False,64,0.0029990673065185547,7
8,Simulated Annealing,False,False,64,0.0019991397857666016,8
8,Simulated Annealing,False,False,64,0.0029976367950439453,7
8,Simulated Annealing,False,False,64,0.003998756408691406,8
8,Simulated Annealing,False,False,64,0.0029973983764648438,8
8,Simulated Annealing,False,False,64,0.002000093460083008,8
8,Simulated Annealing,False,False,64,0.0019979476928710938,6
8,Simulated Annealing,False,False,64,0.00299835205078125,7
8,Simulated Annealing,False,False,64,0.003998279571533203,8
8,Simulated Annealing,False,False,64,0.0039980411529541016,8
8,Simulated Annealing,False,False,64,0.003996849060058594,8
8,Simulated Annealing,False,False,64,0.00299835205078125,8
8,Simulated Annealing,False,False,64,0.003997325897216797,8
8,Simulated Annealing,False,False,64,0.0019989013671875,7
8,Simulated Annealing,False,False,64,0.0029981136322021484,8
10,Simulated Annealing,False,False,100,0.00799417495727539,10
10,Simulated Annealing,False,False,100,0.00499725341796875,10
