"id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
3253,"Paraiso sombrilla","28/09/2011 10:14","Alto (> 8 mts)",88,"Grande",-68.8225725028,-32.8722738506,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
295,"Fresno europeo","05/03/2012 13:33","Bajo (2 - 4 mts)",120,"Grande",-68.8226190791,-32.8676765909,4,"Cuarta Este Área Fundacional",1822015.85685,"1","alto"
15569,"Paraiso","17/11/2011 16:22","Muy bajo (1 - 2 mts)",10,"Chico",-68.8610037264,-32.8712197948,7,"Residencial Parque",1786336.08966,"0","bajo"
357,"Fresno europeo","06/03/2012 13:11","Bajo (2 - 4 mts)",50,"Mediano",-68.820646311,-32.8671691395,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
8699,"Fresno europeo","11/02/2011 12:39","Alto (> 8 mts)",151,"Grande",-68.8387672628,-32.8997356194,2,"Barrio Civico",2366816.36021,"0","alto"
26715,"Morera","10/11/2011 10:07","Alto (> 8 mts)",178,"Grande",-68.8329101005,-32.8939691156,3,"Parque O'Higgins",1531146.02653,"0","muy alto"
11109,"Morera","28/03/2011 09:57","Medio (4 - 8 mts)",75,"Grande",-68.8532510942,-32.8799840186,6,"Residencial Norte",2694682.37982,"0","medio"
22178,"Fresno europeo","13/05/2011 14:14","Alto (> 8 mts)",62,"Grande",-68.8551699339,-32.8993642876,5,"Residencial Sur",2423808.92355,"0","medio"
23313,"Morera","18/01/2012 12:23","Alto (> 8 mts)",160,"Grande",-68.8526517168,-32.9009780453,2,"Barrio Civico",2366816.36021,"0","alto"
3842,"Fresno americano","31/08/2011 10:22","Alto (> 8 mts)",223,"Grande",-68.8290323724,-32.8698470941,4,"Cuarta Este Área Fundacional",1822015.85685,"0","muy alto"
21562,"Morera","08/06/2011 09:39","Medio (4 - 8 mts)",85,"Grande",-68.8549749215,-32.8950631134,5,"Residencial Sur",2423808.92355,"0","medio"
16128,"Morera","21/07/2011 10:08","Alto (> 8 mts)",200,"Grande",-68.8443435844,-32.8727061905,6,"Residencial Norte",2694682.37982,"0","muy alto"
2907,"Fresno europeo","20/09/2011 09:31","Bajo (2 - 4 mts)",43,"Mediano",-68.8220785233,-32.8734399396,4,"Cuarta Este Área Fundacional",1822015.85685,"0","bajo"
5807,"Paraiso","03/05/2011 11:44","Medio (4 - 8 mts)",97,"Grande",-68.8429729849,-32.8754813338,1,"Parque Central",1655357.93265,"0","medio"
29470,"Morera","22/03/2011 08:23","Alto (> 8 mts)",170,"Grande",-68.8441625283,-32.8932702187,2,"Barrio Civico",2366816.36021,"0","muy alto"
37233,"Paraiso","11/03/2011 13:43","Alto (> 8 mts)",180,"Grande",-68.857453828,-32.8727839096,6,"Residencial Norte",2694682.37982,"1","muy alto"
26847,"Morera","07/11/2011 09:30","Alto (> 8 mts)",175,"Grande",-68.8336838427,-32.8928543552,3,"Parque O'Higgins",1531146.02653,"1","muy alto"
3332,"Morera","05/10/2011 11:36","Alto (> 8 mts)",105,"Grande",-68.8308460175,-32.8800854638,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
5010,"Tilo","21/07/2011 09:21","Bajo (2 - 4 mts)",30,"Mediano",-68.8409546126,-32.8628434101,4,"Cuarta Oeste",1173332.70145,"0","bajo"
42940,"Fresno europeo","29/09/2011 10:09","Muy bajo (1 - 2 mts)",6,"Chico",-68.8343353165,-32.877539003,1,"Parque Central",1655357.93265,"0","bajo"
93,"Morera","29/02/2012 10:46","Medio (4 - 8 mts)",140,"Grande",-68.8559831011,-32.9019032972,5,"Residencial Sur",2423808.92355,"0","alto"
22695,"Fresno europeo","10/05/2011 12:03","Alto (> 8 mts)",68,"Grande",-68.853440611,-32.8995045945,5,"Residencial Sur",2423808.92355,"0","medio"
731,"Paraiso sombrilla","19/12/2011 08:55","Bajo (2 - 4 mts)",26,"Mediano",-68.88123911,-32.872389278,8,"Aeroparque",2203364.73622,"0","bajo"
17507,"Fresno europeo","28/07/2011 14:45","Medio (4 - 8 mts)",110,"Grande",-68.8392842805,-32.8664534941,4,"Cuarta Oeste",1173332.70145,"0","alto"
42081,"Fresno europeo","12/04/2011 10:41","Bajo (2 - 4 mts)",52,"Mediano",-68.8429179252,-32.8795390306,1,"Parque Central",1655357.93265,"0","medio"
7771,"Olmo bola","16/05/2011 13:32","Alto (> 8 mts)",190,"Grande",-68.8536752494,-32.885815417,5,"Residencial Sur",2423808.92355,"0","muy alto"
21518,"Fresno europeo","12/05/2011 10:46","Alto (> 8 mts)",85,"Grande",-68.8540334167,-32.8936806876,5,"Residencial Sur",2423808.92355,"0","medio"
17515,"Morera","28/07/2011 10:40","Alto (> 8 mts)",145,"Grande",-68.8395866189,-32.8666877385,4,"Cuarta Oeste",1173332.70145,"1","alto"
4461,"Morera","03/08/2011 09:06","Alto (> 8 mts)",130,"Grande",-68.8377809694,-32.8685852447,4,"Cuarta Oeste",1173332.70145,"0","alto"
46675,"Morera","02/09/2011 10:35","Alto (> 8 mts)",132,"Grande",-68.8307833707,-32.8707744174,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
24442,"Fresno americano","20/01/2011 12:03","Medio (4 - 8 mts)",65,"Grande",-68.8450752583,-32.9031879261,2,"Barrio Civico",2366816.36021,"0","medio"
45824,"Morera","26/08/2011 11:20","Medio (4 - 8 mts)",120,"Grande",-68.8211354753,-32.869456889,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
47299,"Morera","20/09/2011 10:34","Alto (> 8 mts)",128,"Grande",-68.8315304826,-32.8739387626,4,"Cuarta Este Área Fundacional",1822015.85685,"1","alto"
14140,"Morera","01/12/2011 12:21","Alto (> 8 mts)",100,"Grande",-68.8757065557,-32.8662353601,8,"Aeroparque",2203364.73622,"0","alto"
47552,"Morera","19/09/2011 09:02","Alto (> 8 mts)",155,"Grande",-68.8273133756,-32.8712164755,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
36244,"Morera","17/03/2011 13:01","Alto (> 8 mts)",158,"Grande",-68.8543830357,-32.8785331564,6,"Residencial Norte",2694682.37982,"0","alto"
29728,"Pltano","15/03/2011 10:11","Alto (> 8 mts)",142,"Grande",-68.8402667455,-32.8935239811,2,"Barrio Civico",2366816.36021,"0","alto"
28842,"Fresno americano","27/04/2011 09:05","Medio (4 - 8 mts)",60,"Mediano",-68.847163448,-32.8848516005,1,"Parque Central",1655357.93265,"0","medio"
